,Mx,My,Mz,Pot1,Pot2
423,-212.3518502378978,-222.37654853446475,-113.18882750418425,296,787
424,-220.71479941109612,-217.54785059173432,-117.62656440551223,286,781
425,-220.98683301815674,-198.79187009065168,-123.40814884643146,297,787
426,-224.07567761910184,-185.30965961187567,-119.84407899936377,299,778
427,-230.71479941109612,-168.54785059173432,-119.40814884643146,298,779
428,-241.07567761910184,-152.72174310191886,-114.49126516891192,298,767
429,-248.71479941109612,-126.89822233708693,-128.18882750418425,298,742
430,-252.3518502378978,-111.30965961187567,-132.62656440551223,297,723
431,-255.3518502378978,-93.72174310191886,-137.18882750418425,298,701
432,-257.87940226617627,-66.30965961187567,-145.3023879447951,295,661
433,-254.75346416670857,-60.13447327320793,-144.74744819844364,292,647
434,-254.13082837405784,-53.961875523489454,-146.96859556083405,293,647
435,-254.75346416670857,-51.898222337086935,-147.18882750418425,296,644
436,-257.75346416670857,-60.72174310191886,-142.62656440551223,300,660
437,-252.75346416670857,-74.72174310191886,-135.84407899936377,302,693
438,-241.9925958226794,-104.13447327320793,-142.62656440551223,301,718
439,-230.75346416670857,-146.54785059173432,-130.40814884643146,302,752
440,-212.37405234336586,-180.20784065804165,-135.84407899936377,301,775
441,-218.37405234336586,-199.79187009065168,-125.84407899936377,301,785
442,-214.13082837405784,-200.54785059173432,-125.84407899936377,301,788
443,-212.0547449118427,-201.79187009065168,-119.40814884643146,301,791
444,-219.22356036387612,-195.79187009065168,-127.84407899936377,300,789
445,-218.0547449118427,-187.54785059173432,-125.62656440551223,301,789
446,-221.0547449118427,-173.13447327320793,-124.62656440551223,301,783
447,-228.22356036387612,-149.13447327320793,-137.62656440551223,300,769
448,-236.60909752329974,-129.54785059173432,-140.40814884643146,297,752
449,-239.8359872630591,-108.72174310191886,-150.62656440551223,301,728
450,-246.0547449118427,-87.72174310191886,-133.84407899936377,299,688
451,-252.9925958226794,-72.89822233708693,-152.62656440551223,299,668
452,-248.8359872630591,-66.72174310191886,-152.18882750418425,293,650
453,-252.44638113949793,-63.66778314433299,-148.40814884643146,294,646
454,-254.8359872630591,-55.13447327320793,-144.74744819844364,297,645
455,-256.0547449118427,-60.309659611875674,-152.40814884643146,299,656
456,-248.0547449118427,-82.30965961187567,-145.84407899936377,300,680
457,-245.66108149874333,-106.30965961187567,-135.84407899936377,301,718
458,-235.0547449118427,-145.13447327320793,-138.84407899936377,300,752
459,-225.22356036387612,-175.72174310191886,-121.62656440551223,301,770
460,-214.0547449118427,-191.96187552348945,-121.62656440551223,301,780
461,-207.66108149874333,-206.20784065804165,-127.96859556083405,306,789
462,-214.0547449118427,-213.54785059173432,-122.40814884643146,305,794
463,-215.0547449118427,-203.6244607026261,-122.27642456312674,306,792
464,-219.0547449118427,-205.96187552348945,-126.40814884643146,305,793
465,-216.44638113949793,-195.96187552348945,-130.62656440551223,305,790
466,-223.2653938188497,-184.96187552348945,-121.84407899936377,304,788
467,-225.0547449118427,-173.13447327320793,-127.84407899936377,305,786
468,-229.8359872630591,-157.96187552348945,-126.18882750418425,302,779
469,-242.0547449118427,-140.54785059173432,-132.96859556083405,303,760
470,-243.2653938188497,-122.13447327320793,-137.62656440551223,303,737
471,-247.0662143649032,-101.72174310191886,-128.40814884643146,302,719
472,-260.2653938188497,-73.96187552348945,-134.40814884643146,301,681
473,-265.2653938188497,-55.487430811561154,-134.18882750418425,301,653
474,-260.86768479081195,-55.13447327320793,-132.18882750418425,300,649
475,-262.66108149874333,-56.309659611875674,-147.84407899936377,301,648
476,-260.0547449118427,-57.487430811561154,-135.18882750418425,302,647
477,-264.2235603638761,-47.72174310191886,-136.62656440551223,302,647
478,-256.60909752329974,-50.07728456930698,-137.40814884643146,305,648
479,-259.60909752329974,-55.487430811561154,-131.84407899936377,304,656
480,-261.2235603638761,-75.72174310191886,-132.40814884643146,304,689
481,-242.44638113949793,-119.54785059173432,-118.84407899936377,304,735
482,-233.60909752329974,-166.89822233708693,-116.06069744592287,304,765
483,-225.37405234336586,-186.72174310191886,-111.62656440551223,304,781
484,-218.9925958226794,-192.72174310191886,-111.49126516891192,305,786
485,-222.60909752329974,-191.72174310191886,-100.70522408121565,305,787
486,-222.9925958226794,-190.13447327320793,-110.70522408121565,305,789
487,-221.60909752329974,-192.54785059173432,-118.06069744592287,305,790
488,-218.37405234336586,-202.30965961187567,-106.70522408121565,305,791
489,-217.37405234336586,-197.72174310191886,-108.27642456312674,305,792
490,-220.9925958226794,-205.54785059173432,-111.06069744592287,305,796
491,-222.60909752329974,-204.13447327320793,-109.06069744592287,307,790
492,-220.37405234336586,-207.30965961187567,-108.06069744592287,306,789
493,-223.37405234336586,-207.72174310191886,-94.84407899936377,305,792
494,-222.60909752329974,-202.89822233708693,-96.70522408121565,305,790
495,-142.82812045789535,-226.42766159830964,-117.47580300163236,264,779
496,-148.80807759651464,-226.66260659901172,-110.92381221929668,264,778
497,-146.59714452629999,-223.42766159830964,-115.51585153399151,263,778
498,-151.59714452629999,-230.04482170883642,-112.51585153399151,264,779
499,-150.1684642484139,-228.04482170883642,-115.22057386097686,264,778
500,-155.73071791158497,-229.90004885434195,-116.22057386097686,264,780
501,-153.38393910404977,-230.51970528751403,-116.51585153399151,265,781
502,-147.73071791158497,-230.28101580284402,-112.22057386097686,264,778
503,-149.95072287804226,-224.8111267334227,-116.51585153399151,267,777
504,-147.1684642484139,-226.66260659901172,-111.22057386097686,265,777
505,-153.38393910404977,-230.90004885434195,-114.22057386097686,263,777
506,-151.38393910404977,-223.28101580284402,-119.95606991616228,263,776
507,-157.95072287804226,-218.13998463636887,-117.36839578459899,262,773
508,-163.95072287804226,-197.90004885434195,-119.80968378183638,261,771
509,-172.1684642484139,-183.51970528751403,-113.51585153399151,257,760
510,-183.28392886501263,-154.38241021716098,-129.368395784599,262,621
511,-195.38393910404977,-115.62732186878682,-123.66294592709164,257,664
512,-197.38393910404977,-111.00455551711539,-125.66294592709164,259,637
513,-198.38393910404977,-106.49934257418872,-144.368395784599,261,635
514,-198.38393910404977,-107.25070880618378,-135.368395784599,267,635
515,-195.50845226769195,-102.00455551711539,-127.36839578459899,256,638
516,-185.73071791158497,-126.38241021716098,-135.368395784599,261,684
517,-167.95072287804226,-170.51970528751403,-116.80968378183638,262,713
518,-157.73071791158497,-210.38241021716098,-119.80968378183638,264,768
519,-145.38393910404977,-226.51970528751403,-117.66294592709164,261,778
520,-144.80807759651464,-224.51970528751403,-111.95606991616228,247,780
521,-147.1684642484139,-227.76088643491497,-120.95606991616228,262,778
522,-151.38393910404977,-219.51970528751403,-112.10210914800655,262,775
523,-158.95072287804226,-203.38241021716098,-122.95606991616228,262,770
524,-165.38393910404977,-181.13998463636887,-118.51585153399151,263,759
525,-171.95072287804226,-173.76088643491497,-122.80968378183638,261,753
526,-178.1684642484139,-160.0045555171154,-117.80968378183638,259,737
527,-188.1684642484139,-140.76088643491497,-128.95606991616228,261,706
528,-191.95072287804226,-121.25070880618378,-118.95606991616228,261,673
529,-200.50845226769195,-106.87471586331489,-132.95606991616228,259,640
530,-201.1684642484139,-107.62732186878682,-126.10210914800655,260,635
531,-197.38393910404977,-101.87471586331489,-116.95606991616228,262,633
532,-203.50845226769195,-96.49934257418872,-128.95606991616228,262,636
533,-196.95072287804226,-117.87471586331489,-141.66294592709164,263,658
534,-191.1684642484139,-138.62732186878682,-122.10210914800655,263,724
535,-176.95072287804226,-166.0045555171154,-126.39316617599775,263,738
536,-167.95072287804226,-188.0045555171154,-117.95606991616228,263,762
537,-157.1684642484139,-210.38241021716098,-116.24780629530619,264,774
538,-149.95072287804226,-220.76088643491497,-111.95606991616228,263,781
539,-145.59714452629999,-223.51970528751403,-118.10210914800655,262,780
540,-151.1684642484139,-219.76088643491497,-117.39316617599775,263,780
541,-155.1684642484139,-206.76088643491497,-112.6828934093055,263,778
542,-164.38393910404977,-198.38241021716098,-111.10210914800655,265,775
543,-163.73071791158497,-189.0045555171154,-118.24780629530619,264,766
544,-178.1684642484139,-175.38241021716098,-121.39316617599775,265,759
545,-183.38393910404977,-161.76088643491497,-120.95606991616228,265,748
546,-182.59714452629999,-160.62732186878682,-118.39316617599775,263,735
547,-184.95072287804226,-140.25070880618378,-122.80968378183638,262,720
548,-184.80807759651464,-133.25070880618378,-119.39316617599775,263,700
549,-190.38393910404977,-123.87471586331489,-127.80968378183638,262,682
550,-197.59714452629999,-112.87471586331489,-132.95606991616228,262,662
551,-199.38393910404977,-98.25070880618378,-132.10210914800655,263,650
552,-201.0167353960436,-99.87471586331489,-133.80968378183638,260,632
553,-201.38393910404977,-97.62732186878682,-127.66294592709164,261,633
554,-201.1684642484139,-97.75045309319867,-128.95606991616228,261,631
555,-202.38393910404977,-95.25070880618378,-129.10210914800655,266,636
556,-198.0167353960436,-110.49934257418872,-122.24780629530619,263,656
557,-185.80807759651464,-129.8747158633149,-121.10210914800655,262,697
558,-174.1684642484139,-163.0045555171154,-119.39316617599775,262,737
559,-157.0167353960436,-200.0045555171154,-120.24780629530619,261,776
560,-143.22311500623744,-220.0045555171154,-115.53819360801867,261,782
561,-144.82855551430828,-221.51970528751403,-120.6828934093055,265,786
562,-144.42721350844624,-214.51970528751403,-108.6828934093055,263,783
563,-145.42721350844624,-220.51970528751403,-114.53819360801867,262,780
564,-146.42721350844624,-207.76088643491497,-109.53819360801867,259,779
565,-161.42721350844624,-193.76088643491497,-119.6828934093055,265,771
566,-171.62902798401967,-174.38241021716098,-121.53819360801867,264,764
567,-176.42721350844624,-163.49934257418872,-133.39316617599775,265,743
568,-181.62902798401967,-141.49934257418872,-124.24780629530619,267,725
569,-188.42721350844624,-122.25070880618378,-119.39316617599775,264,700
570,-191.82855551430828,-109.25070880618378,-122.24780629530619,264,672
571,-197.62902798401967,-94.12458847281377,-135.2478062953062,262,640
572,-197.62902798401967,-91.75045309319867,-138.2478062953062,261,629
573,-197.42721350844624,-93.62732186878682,-125.39316617599775,261,632
574,-197.62902798401967,-90.25070880618378,-121.10210914800655,261,634
575,-197.42721350844624,-94.12458847281377,-127.24780629530619,262,634
576,-199.02579318066194,-88.49934257418872,-136.2478062953062,265,639
577,-198.42721350844624,-102.25070880618378,-137.10210914800655,266,657
578,-189.02579318066194,-121.25070880618378,-126.39316617599775,264,702
579,-163.82855551430828,-168.38241021716098,-118.6828934093055,263,750
580,-149.62902798401967,-206.38241021716098,-119.97132939142534,262,777
581,-148.02579318066194,-212.76088643491497,-118.53819360801867,265,785
582,-144.82855551430828,-208.13998463636887,-127.24780629530619,267,784
583,-144.82855551430828,-209.76088643491497,-119.53819360801867,265,784
584,-147.62902798401967,-207.13998463636887,-108.82727039779547,265,783
585,-145.82855551430828,-203.13998463636887,-112.39316617599775,266,784
586,-144.42721350844624,-211.25070880618378,-115.6828934093055,266,785
587,-152.22073806443052,-211.13998463636887,-110.53819360801867,266,784
588,-147.82855551430828,-214.76088643491497,-116.53819360801867,264,784
589,-145.62902798401967,-213.13998463636887,-106.97132939142534,266,783
590,-146.82855551430828,-208.0045555171154,-109.82727039779547,264,783
591,-143.4133872469646,-210.13998463636887,-116.53819360801867,265,784
592,-146.02579318066194,-211.38241021716098,-114.53819360801867,267,783
593,-148.60373780961424,-215.38241021716098,-108.11507520813211,267,783
594,-206.9385736876642,-334.952015508906,-210.8537813267087,340,824
595,-207.9385736876642,-334.3790905634373,-201.512572130913,341,821
596,-207.36031123874193,-333.80682301701734,-212.18386329033547,341,822
597,-210.36031123874193,-330.952015508906,-196.512572130913,340,821
598,-208.66147227485737,-328.3790905634373,-204.18386329033547,342,820
599,-215.08915128707224,-326.952015508906,-200.165889714669,342,819
600,-215.19782444921054,-327.80682301701734,-208.8399126663785,343,822
601,-212.9385736876642,-320.3790905634373,-213.18386329033547,344,821
602,-214.08915128707224,-323.80682301701734,-206.512572130913,342,820
603,-214.08915128707224,-323.952015508906,-206.165889714669,345,820
604,-214.36031123874193,-324.3790905634373,-202.512572130913,345,820
605,-227.9385736876642,-293.3790905634373,-207.8537813267087,344,820
606,-221.36031123874193,-283.3790905634373,-208.512572130913,345,815
607,-233.9385736876642,-262.66426198528984,-207.18386329033547,345,809
608,-243.08915128707224,-232.52559738743227,-221.18386329033547,346,796
609,-254.78006246547386,-213.09983573302446,-211.512572130913,344,787
610,-265.08915128707224,-168.09983573302446,-227.8537813267087,344,726
611,-278.36031123874193,-134.09983573302446,-222.18386329033547,356,681
612,-279.08915128707224,-144.67473007969122,-237.8537813267087,340,665
613,-272.9385736876642,-149.82648491228272,-230.512572130913,336,657
614,-272.08915128707224,-153.9808581572752,-231.85524851816558,337,656
615,-277.78006246547386,-145.67473007969122,-234.512572130913,338,656
616,-280.08915128707224,-154.25027996144112,-225.52232142209618,341,672
617,-266.9385736876642,-186.67473007969122,-222.512572130913,339,705
618,-245.36659901433666,-230.67473007969122,-225.52232142209618,343,740
619,-226.8001932198398,-284.09983573302446,-209.18386329033547,340,775
620,-218.23181861289652,-307.80682301701734,-211.8537813267087,339,794
621,-214.08915128707224,-312.23521333563775,-214.512572130913,341,802
622,-212.08915128707224,-324.3790905634373,-207.8399126663785,346,809
623,-210.23181861289652,-329.952015508906,-197.8399126663785,343,813
624,-214.08915128707224,-321.80682301701734,-198.8399126663785,344,817
625,-217.51485273089122,-297.09983573302446,-212.512572130913,345,817
626,-233.51485273089122,-263.5255973874323,-219.18386329033547,343,809
627,-242.66147227485737,-236.67473007969122,-225.8537813267087,355,795
628,-247.66147227485737,-213.37909056343727,-211.18386329033547,342,771
629,-255.23181861289652,-188.52559738743227,-224.512572130913,342,740
630,-270.08915128707224,-165.52559738743227,-229.8537813267087,344,713
631,-280.08915128707224,-147.67473007969122,-232.18386329033547,339,680
632,-284.5148527308912,-137.67473007969122,-235.18386329033547,341,664
633,-280.78006246547386,-132.67473007969122,-240.8537813267087,340,662
634,-286.08915128707224,-131.25027996144112,-237.8537813267087,344,660
635,-279.9385736876642,-139.82648491228272,-235.18947875856065,345,665
636,-281.36031123874193,-154.09983573302446,-225.52232142209618,339,682
637,-265.5148527308912,-177.67473007969122,-225.8537813267087,344,709
638,-252.36031123874193,-214.09983573302446,-219.18386329033547,343,745
639,-231.9385736876642,-261.952015508906,-205.8399126663785,345,774
640,-211.78006246547386,-295.952015508906,-200.49050809372125,355,794
641,-205.9385736876642,-304.3790905634373,-196.18386329033547,345,806
642,-210.78006246547386,-299.3790905634373,-206.512572130913,345,809
643,-216.78006246547386,-286.3790905634373,-213.18386329033547,345,812
644,-229.19782444921054,-267.80682301701734,-203.165889714669,345,809
645,-238.19782444921054,-239.37909056343727,-215.165889714669,345,801
646,-247.61359427130185,-216.67473007969122,-211.512572130913,346,789
647,-256.9385736876642,-195.09983573302446,-216.8537813267087,345,760
648,-263.61359427130185,-168.52559738743227,-207.52232142209618,345,727
649,-277.0273690130979,-148.95201550890604,-223.8537813267087,344,700
650,-283.84892158120454,-133.67473007969122,-220.8399126663785,344,636
651,-275.61359427130185,-139.40334446622452,-229.8399126663785,341,662
652,-282.78006246547386,-137.67473007969122,-224.8537813267087,342,647
653,-284.61359427130185,-138.82648491228272,-223.18386329033547,344,659
654,-281.4391457559485,-134.25027996144112,-220.52232142209618,344,658
655,-281.19782444921054,-147.25027996144112,-216.8537813267087,342,680
656,-268.36031123874193,-174.25027996144112,-213.18386329033547,348,706
657,-250.19782444921054,-219.67473007969122,-203.18386329033547,347,747
658,-228.78006246547386,-266.23521333563775,-198.18947875856065,345,779
659,-219.36031123874193,-307.80682301701734,-204.512572130913,346,801
660,-212.19782444921054,-304.23521333563775,-193.18386329033547,348,811
661,-216.36031123874193,-301.3790905634373,-190.8537813267087,346,814
662,-216.51485273089122,-285.3790905634373,-199.18386329033547,346,814
663,-226.51485273089122,-270.5255973874323,-202.18386329033547,346,811
664,-243.08915128707224,-240.37909056343727,-208.18386329033547,346,802
665,-251.9385736876642,-219.09983573302446,-218.18386329033547,345,779
666,-263.5148527308912,-192.37909056343727,-224.165889714669,347,752
667,-277.9385736876642,-169.25027996144112,-213.18386329033547,347,717
668,-284.6614722748574,-136.40334446622452,-213.512572130913,345,683
669,-289.9385736876642,-126.25027996144112,-220.512572130913,344,669
670,-287.78006246547386,-129.25027996144112,-216.8537813267087,344,666
671,-283.8001932198398,-129.25027996144112,-215.8537813267087,346,664
672,-288.78006246547386,-132.25027996144112,-218.512572130913,348,669
673,-281.2318186128965,-155.82648491228272,-209.512572130913,356,683
674,-266.2318186128965,-182.67473007969122,-217.18947875856065,347,714
675,-250.9385736876642,-231.95201550890604,-198.18386329033547,346,752
676,-225.78006246547386,-287.3790905634373,-204.52232142209618,347,787
677,-212.51485273089122,-303.952015508906,-190.512572130913,350,806
678,-214.66147227485737,-309.80682301701734,-183.18386329033547,351,811
679,-213.9385736876642,-311.5255973874323,-196.18386329033547,350,813
680,-218.08915128707224,-301.80682301701734,-189.8399126663785,351,813
681,-220.51485273089122,-307.80682301701734,-181.8399126663785,350,814
682,-217.51485273089122,-305.23521333563775,-188.49050809372125,350,814
683,-218.9385736876642,-308.80682301701734,-202.18386329033547,349,815
684,-214.66147227485737,-311.3790905634373,-186.18386329033547,349,815
685,-216.9385736876642,-311.3790905634373,-192.52232142209618,350,815
686,-219.51485273089122,-310.3790905634373,-189.512572130913,350,816
687,-216.9385736876642,-305.80682301701734,-187.49050809372125,350,815
688,-219.66147227485737,-308.80682301701734,-193.512572130913,350,814
689,-220.9385736876642,-305.66426198528984,-186.52232142209618,350,816
690,-218.51485273089122,-306.3790905634373,-187.18386329033547,352,815
691,-219.9385736876642,-310.80682301701734,-176.512572130913,352,815
692,-220.36031123874193,-313.66426198528984,-181.512572130913,350,814
